Sl. No.,Make,Model,Variant,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Engine_Location,Fuel_System,Fuel_Tank_Capacity_litre,Fuel_Type,Height_mm,Length_mm,Width_mm,Body_Type,Doors,City_Mileage_km_litre,Highway_Mileage_km_litre,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space_litre,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
1049,,Mercedes-Benz Cls,300D,1950,4,,RWD (Rear Wheel Drive),In-line,"Front, Transverse",Injection,,Diesel,1435,4988,1890,Sedan,5,,,,,,9,,Ventilated Disc,Ventilated Disc,,,,,225 / 45 R18,225 / 40 R18,Electric Power,All Windows,"Yes, with memory","Remote, Smart Key",245Bhp@4200RPM,500Nm@1600-2400RPM,Digital,Digital,Digital,Yes,5,Leather,Automatic,,225 / 45 R18,Yes,2,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"With Remote, Internal",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"With Remote, Internal",Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2445 kg,"Driver frontal airbag, Front passenger frontal airbag, Curtain airbags",Yes,Yes,Yes,Yes,7,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
1050,Bmw,X7,Xdrive 40I,2998,6,4,AWD (All Wheel Drive),In-line,"Front, Longitudinal",Injection,80,Petrol,1805,5151,2000,SUV,5,,,13.38 km/litre,,,8,,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,,,,,Yes,All Windows,,Yes,335 bhp @ 5500 rpm,450 Nm @ 1500 rpm,Digital,Digital,Digital,Yes,7,Leather,Automatic,3105 mm,,Yes,3,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,326,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,With Remote,Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,Yes,4 Zone climate control,Yes,Yes,Yes,Yes,Yes,Yes,Sport,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag, Driver head airbag, Front passenger head airbag, Front passenger knee airbag, Rear passenger head airbags",Yes,Yes,Yes,Yes,9,,Yes,,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"With gear shift paddles, Multifunction Steering Wheel",Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,
1051,Bmw,X7,Xdrive30D Dpe Signature,2993,6,4,AWD (All Wheel Drive),In-line,"Front, Longitudinal",Injection,80,Diesel,1805,5151,2000,SUV,5,,,13.38 km/litre,,,8,,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,,,,,Yes,All Windows,"Yes, with memory",Yes,262 bhp @ 4000 rpm,620 Nm @ 1500 rpm,Digital,Digital,Digital,Yes,7,Leather,Automatic,3105 mm,,Yes,3,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,326,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,With Remote,Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,Yes,4 Zone climate control,Yes,Yes,Yes,Yes,Yes,Yes,Sport,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Driver head airbag, Front passenger head airbag, Drive side airbag, Front passenger knee airbag, Rear passenger head airbags",Yes,Yes,Yes,Yes,9,,Yes,,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"With gear shift paddles, Multifunction Steering Wheel",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,
1052,Bmw,M4,Coupe,2979,6,4,RWD (Rear Wheel Drive),In-line,"Front, Longitudinal",Injection,60,Petrol,1383,4671,1870,Coupe,2,7.32,10.75,10.75 km/litre,,1612 kg,7,121 mm,Ventilated Disc,Ventilated Disc,Adaptive M Suspension,Adaptive M Suspension,1579 mm,1603 mm,255/40R18,275/40R18,Electric Power,All Windows,Yes,Smart Key,431PS@7300RPM,550Nm@1850-5500rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,2812 mm,R18,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",368,Yes,Yes,,Digital,Front,Yes,Front,Yes,,Yes,Manual,Analog,Automatic,Analog + Digital,Yes,6.1,Yes,Driver & Front Passenger,,2 Zone Climate Control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,2040 kg,"Driver head airbag, Driver frontal airbag, Front passenger head airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Front passenger knee airbag, Driver knee airbag, Rear passenger head airbags",Yes,Yes,Yes,Yes,10,10.2,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,,,,Yes,Yes,Yes,,Only front,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
1053,Porsche,911,Carrera S,2981,6,4,AWD (All Wheel Drive),Flat,"Rear Mid, Transverse",Injection,64,Petrol,1300,4519,1852,Coupe,2,7.9,10.7,8.9 km/litre,,1515 kg,8,,Ventilated Disc,Ventilated Disc,McPherson spring strut suspension,Multi Link rear axle,,,245/35 ZR 20,305/30 ZR 21,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,450hp@6500rpm,530Nm@5000rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,2450 mm,ZR21,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,4 years / 80000 Kms (years/distance whichever comes first),Yes,"Internal, With Remote",132,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"12/24 months /up to 2,00,000 Kms (whichever comes first)",Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,,,"Normal, Comfort, Eco, Sport",Yes,,Yes,,,,,Yes,Yes,,1985 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,4,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,,Yes,,,Yes,Yes,,Only front,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,1,Yes,Yes,,
1054,Porsche,911,Carrera S Cabriolet,2981,6,4,AWD (All Wheel Drive),Flat,"Rear Mid, Transverse",Injection,64,Petrol,1299,4519,1852,Convertible,2,11.6,7.6,9.1 km/litre,,1585 kg,8,,Ventilated Disc,Ventilated Disc,McPherson spring strut suspension,Multi Link rear axle,,,245/35 ZR 20,305/30 ZR 21,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,450hp@6500rpm,530Nm@5000rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,2450 mm,ZR20,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,4 years / 80000 Kms (years/distance whichever comes first),Yes,"Internal, With Remote",132,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,"12/24 months /up to 2,00,000 Kms (whichever comes first)",Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,,,"Normal, Comfort, Eco, Sport",Yes,,Yes,,Yes,,,Yes,Yes,,2040 kg,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Driver head airbag",Yes,Yes,Yes,Yes,4,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,,Yes,,,Yes,Yes,,Only front,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,1,,Yes,,
1055,Nissan,Gtr,3.8 V6,3799,6,4,AWD (All Wheel Drive),V,"Front, Longitudinal",Injection,74,Petrol,1370,4710,1895,Coupe,2,9,,9 km/litre,,1752 kg,6,110 mm,Ventilated Disc,Ventilated Disc,,,,,255/40 R20,255/35 R20,Yes,All Windows,Yes,Smart Key,570PS@6800rpm,637Nm@3200rpm,Analog,Analog,Analog,Yes,4,Leather,Automatic,2780 mm,255/35 R20,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"With Remote, Manual",249,Yes,Yes,Yes,Digital,Front & Rear,Yes,Yes,Yes,,Yes,"With Remote, Internal",Analog,Automatic,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,6,,"Rake, Reach",,Air Conditioner : Standard,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
1056,Aston Martin,Vantage,Coupe,3982,8,4,RWD (Rear Wheel Drive),V,"Front, Longitudinal",Injection,73,Petrol,1273,4465,2153,Coupe,2,5,8,8 km/litre,,1530 kg,8,122 mm,Ventilated Disc,Ventilated Disc,"Front independent double wishbone design coil springs, anti-roll bar and adaptive damping","Rear multi-link, coil springs, anti-roll bar and adaptive damping",,,255/40/20,295/35/20,Electric Power,Only Front Windows,Yes,,505bhp@6000rpm,685Nm@2000-5000rpm,,,Not on offer,,2,Leather,Automatic,2704 mm,R20,Yes,,CD Player with USB & Aux-in,,,,Yes,Internal,,,,,,,,,,,Yes,Internal,,Automatic,Analog,Yes,,Yes,,,"Fully automatic climate control, 2 Zone Climate Control",,,,,,,,Yes,,,,,,,,Yes,,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,,Yes,,6,10.5:1,"Rake, Reach",,Air Conditioner : Standard,"Rear sensors, Rear sensors with camera",Yes,,,,,Yes,Yes,,,,,,Yes,,Yes,,,2.4 PSI,Only front,Yes,,,,Yes,Yes,,Yes,Yes,,,,,
1057,Aston Martin,Rapide,Luxe,5935,12,4,RWD (Rear Wheel Drive),V,"Mid, Longitudinal",Injection,90.5,Petrol,1360,5019,1929,Sedan,4,9.1,12.9,12.9 km/litre,,1990 kg,8,108 mm,Ventilated Disc,Ventilated Disc,Independent Double Wish Bone - Coil Spring Suspension,"Independent, double-wishbone with coil springs, gas-pressurized shock absorbers and stabilizer bar",1589 mm,1613 mm,245/40R20,295/35R20,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,560PS@6650rpm,630Nm@5500rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,2989 mm,R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",300,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,12 /24 months and can be renewed or extended for a further period,Yes,"Internal, With Remote",Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,2081 kg,"Front passenger frontal airbag, Front passenger side airbag, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag",Yes,Yes,Yes,Yes,8,11.1,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,"Cup Holders, Audio Controls",Yes,Yes,Yes,,All,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
1058,Ferrari,812 Superfast,Superfast,6496,12,,AWD (All Wheel Drive),V,"Front, Longitudinal",Injection,92,Petrol,1276,4657,1971,Coupe,2,,,14.9 km/litre,,1630 kg,7,,Ventilated Disc,Ventilated Disc,Double wishbone front axle,suspension with stabilizer bar,1672 mm,1645 mm,275/35 ZR20,315/35 ZR20,Electro-Hydraulic,All Windows,Yes,Smart Key,789 bhp @ 8500 rpm,718 Nm @ 7000 rpm,Digital,Digital,Analog,Yes,2,Leather,Automatic,2720 mm,315/35 ZR20,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,,Yes,Yes,,Digital,Front,Yes,Front,Yes,12/24 months/ up to90000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,4,13.6:1,"Reach, Rake",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,,Yes,,Yes,Yes,Yes,,Only front,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
1059,Maruti Suzuki,Alto 800 Tour,H1,796,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1475,3430,1490,Hatchback,5,18,23,23.7 km/litre,,720 kg,5,160 mm,Solid Disc,Drum,Mc Pherson Strut,Three Link Rigid Axle Suspension,1295 mm,1290 mm,145/80R12,145/80R12,Electric Power,Only Front Windows,,,48PS@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,2,5,Fabric,Manual,2360 mm,145/80R12,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,177,,,Yes,Digital,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,Yes,,,,,,1185 kg,,,,,,,10.3:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Maruti Suzuki,Alto 800 Tour,H1 (O),796,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,35,Petrol,1475,3395,1490,Hatchback,5,18,23,24.7 km/litre,,720 kg,5,160 mm,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic","Coil Spring, Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm",1295 mm,1290 mm,145/80R12,145/80R12,Yes,Only Front Windows,,,48PS@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,2,5,Fabric,Manual,2360 mm,145/80R12,,,Not on offer,,,,,Internal,177,,,Yes,Digital,Front,,Front,Yes,,,Internal,Digital,Manual,Analog + Digital,Yes,4.6,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,Yes,,,,,,1185 kg,Driver frontal airbag,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Hyundai,Grand I10 Nios,Magna 1.2 Crdi,1186,3,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Diesel,1520,3805,1680,Hatchback,5,20.7,,20.7 km/litre,,,5,,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,165/70R14,165/70R14,Electric Power,All Windows,,,75PS@4000rpm,190NM@1750-2250RPM,Digital,"Analog, Digital",Analog,2,5,Fabric,Manual,2450 mm,165/70R14,,1,USB & Aux-in,Yes,Yes,"3 years / 100,000 Km of warranty**",Yes,Manual,256,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,Normal,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,,Yes,,,Yes,,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,
1062,Hyundai,Grand I10 Nios,Era 1.2 Vtvt,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Petrol,1520,3805,1680,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,165/70R14,165/70R14,Electric Power,Only Front Windows,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2450 mm,165/70R14,,,Not on offer,,,"3 years / 100,000 Km of warranty**",,Manual,256,,,Yes,,Front,,Front,Yes,,,Internal,Digital,Manual,Analog + Digital,,,Yes,Driver Only,,Manual Air conditioning with cooling and heating,Yes,,,,,,Normal,Yes,,,,,,,Yes,,,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,,2,,,,,Rear sensors,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
1063,Hyundai,Grand I10 Nios,Magna 1.2 Vtvt,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Petrol,1520,3805,1680,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,165/70R14,165/70R14,Electric Power,All Windows,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2450 mm,165/70R14,,1,USB & Aux-in,Yes,Yes,"3 years / 100,000 Km of warranty**",Yes,Manual,256,,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,Normal,Yes,Yes,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,,Yes,,,Yes,,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,
1064,Hyundai,Grand I10 Nios,Magna Amt 1.2 Vtvt,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Petrol,1520,3805,1680,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,165/70R14,165/70R14,Electric Power,All Windows,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,2,5,Fabric,Automatic,2450 mm,165/70R14,,1,USB & Aux-in,Yes,Yes,"3 years / 100,000 Km of warranty**",Yes,Manual,256,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,Normal,Yes,,,,,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,,Yes,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,
1065,Hyundai,Grand I10 Nios,Sportz 1.2 Vtvt,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Petrol,1520,3805,1680,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,165/70R14,165/70R14,Electric Power,All Windows,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2450 mm,165/70R14,,2,CD Player with USB & Aux-in,Yes,Yes,"3 years / 100,000 Km of warranty**",Yes,Manual,256,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,Yes,,,,Normal,Yes,Yes,,,,Yes,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,,,,,,,Yes,,,,,,,,,,,,,
1066,Hyundai,Grand I10 Nios,Sportz Amt 1.2 Vtvt,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Petrol,1520,3805,1680,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,165/70R14,165/70R14,Electric Power,All Windows,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,2,5,Fabric,Automatic,2450 mm,165/70R14,,2,CD Player with USB & Aux-in,Yes,Yes,"3 years / 100,000 Km of warranty**",Yes,Manual,256,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,Yes,,,,Normal,Yes,,,Yes,,Yes,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,,Yes,,,,,Yes,,,Yes,,,,Yes,,,,,,,,,
1067,Hyundai,Grand I10 Nios,Sportz Dual Tone 1.2 Vtvt,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Petrol,1520,3805,1680,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,175/60R15,175/60R15,Electric Power,All Windows,,,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2450 mm,175/60R15,,2,CD Player with USB & Aux-in,Yes,Yes,"3 years / 100,000 Km of warranty**",Yes,Manual,256,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,Yes,,,,Normal,,Yes,,,Yes,Yes,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,,Yes,Yes,Yes,,Touch Sensitive,,Yes,,Manual Adjustment,,Yes,,,,,Yes,,,Yes,,,,Yes,,,,,,,,,
1068,Hyundai,Grand I10 Nios,Asta 1.2 Vtvt,1197,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,37,Petrol,1520,3805,1680,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,,,175/60R15,175/60R15,Electric Power,All Windows,,Smart Key,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,Analog,2,5,Leather,Manual,2450 mm,175/60R15,Yes,2,CD Player with USB & Aux-in,Yes,Yes,"3 years / 100,000 Km of warranty**",Yes,Manual,256,Yes,Yes,Yes,Digital,Front & Rear,Yes,,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,Yes,,,Yes,Normal,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors with camera,,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,Yes,,,Yes,,Yes,,,Yes,,,,Yes,,,,,,,,,
